SiO2,Al2O3,Fe2O3,CaO,Na2O,K2O,MgO,SO3,mid,pii_tid,label,total
66.24,12.82,1.42,2.4,0.0,0.0,1.08,0.0,S0008884601007311_1_5_1_0_NZ,S0008884601007311_1,[],83.96000000000001
30.25,12.5,1.2,42.51,0.0,0.0,3.42,5.2,S0008884601007311_1_6_1_0_GBFS,S0008884601007311_1,[2],95.08
21.7,25.8,9.7,3.7,0.0,0.0,1.2,0.2,S0008884601007323_0_2_1_0_PFA,S0008884601007323_0,[0],62.30000000000001
28.3,13.6,0.62,38.4,0.0,0.0,7.2,7.4,S0008884601007323_0_3_1_0_PS,S0008884601007323_0,[],95.52
88.2,3.45,0.8,0.0,0.0,0.0,2.08,0.34,S0008884601007323_0_4_1_0_SF,S0008884601007323_0,[3],94.87
67.21,17.06,0.0,0.0,0.0,0.0,0.31,0.15,S0008884601007347_2_10_1_0_OR1A,S0008884601007347_2,[],84.73
70.51,14.1,0.0,0.0,0.0,0.0,0.21,0.06,S0008884601007347_2_11_1_0_OR1B,S0008884601007347_2,[],84.88
70.33,13.9,0.0,0.0,0.0,0.0,0.25,0.1,S0008884601007347_2_12_1_0_OR2A,S0008884601007347_2,[],84.58
66.12,18.16,0.0,0.0,0.0,0.0,0.25,0.14,S0008884601007347_2_13_1_0_OR2B,S0008884601007347_2,[],84.67
56.0,19.23,0.0,0.0,0.0,0.0,0.53,0.19,S0008884601007347_2_14_1_0_OR3B,S0008884601007347_2,[],75.95
65.64,18.4,0.0,0.0,0.0,0.0,0.29,0.14,S0008884601007347_2_15_1_0_OR4A,S0008884601007347_2,[],84.47
57.29,20.77,0.0,0.0,0.0,0.0,0.52,0.29,S0008884601007347_2_16_1_0_OR4C,S0008884601007347_2,[],78.87
56.29,20.18,0.0,0.0,0.0,0.0,0.31,0.18,S0008884601007347_2_17_1_0_OR4D,S0008884601007347_2,[],76.96000000000001
63.15,18.2,0.0,0.0,0.0,0.0,0.16,0.15,S0008884601007347_2_18_1_0_PE1,S0008884601007347_2,[],81.66
65.6,17.38,0.0,0.0,0.0,0.0,0.17,0.17,S0008884601007347_2_19_1_0_PE2,S0008884601007347_2,[],83.32
